                   Cap Weighted  Equal Weighted  Standard CVaR  Enhanced CVaR  Alpha CVaR
Annual Return          0.744784        0.388268       0.129096       0.128733    0.128733
Annual Volatility      0.410783        0.299087       0.160442       0.160453    0.160453
Sharpe Ratio           1.813084        1.298178       0.804626       0.802311    0.802311
Max Drawdown          -0.538832       -0.429057      -0.250133      -0.250133   -0.250133
95% CVaR              -0.054952       -0.042019      -0.023471      -0.023479   -0.023479
Sortino Ratio          2.748348        1.807612       0.986701       0.983788    0.983788

Regime Model Feature Importance:
      feature  importance
8         DFF    0.118984
5       GDPC1    0.105652
41        JPM    0.081914
15       AMZN    0.076649
14        AMD    0.070251
66          V    0.063448
10       ABBV    0.047353
40        JNJ    0.039398
39       ISRG    0.036229
49       MSFT    0.034001
43        LMT    0.031472
51        NOW    0.028543
35         GS    0.024856
67         VZ    0.015415
58         PM    0.013999
26       CSCO    0.013761
16       AVGO    0.013563
23      CMCSA    0.013437
68        WMT    0.013434
42         KO    0.011865
33       GILD    0.011515
7    FEDFUNDS    0.011432
18        BAC    0.011343
29         DE    0.011149
27        CVS    0.009104
63       TMUS    0.007969
38       INTC    0.007785
34       GOOG    0.007620
4    CPIAUCSL    0.007445
9        AAPL    0.007334
62          T    0.006533
56         PG    0.005506
60       QCOM    0.004796
59       PYPL    0.004389
50       NFLX    0.004255
0      T10Y2Y    0.003132
54        PEP    0.003118
2      VIXCLS    0.003047
24       COST    0.002173
44         MA    0.002125
37        IBM    0.001823
17        AXP    0.001766
64       TSLA    0.001734
6   GDPC1_PCT    0.001722
31        DIS    0.001485
22          C    0.001467
65        TXN    0.000973
46       META    0.000695
48         MS    0.000494
47        MRK    0.000484
13       ADBE    0.000447
12        ACN    0.000418
25        CRM    0.000249
55        PFE    0.000222
20        BMY    0.000017
3      DTWEXB    0.000014
11        ABT    0.000000
21      BRK-B    0.000000
30        DHR    0.000000
32        FDX    0.000000
1       USREC    0.000000
36        HON    0.000000
19        BLK    0.000000
61       SCHW    0.000000
57       PLTR    0.000000
45        MCD    0.000000
53       ORCL    0.000000
52       NVDA    0.000000
28        CVX    0.000000
